Sigla,Código,Município,Domicílios - com água encanada - pessoas (2000),Domicílios - com energia elétrica - pessoas (2000),Domicílios - com telefone - pessoas (2000),Domicílios - com carro - pessoas (2000),Domicílios - com computador - pessoas (2000),Domícilios - número (2000),
AC,1200013,Acrelândia,21.455,56.227,8.853,9.299,0.947,1878,
AC,1200054,Assis Brasil,27.389,65.342,26.715,6.025,1.637,807,
AC,1200104,Brasiléia,26.862,55.879,22.732,7.475,1.857,4114,
AC,1200138,Bujari,17.343,43.85,12.28,6.492,0.127,1365,
AC,1200179,Capixaba,13.116,35.913,9.193,5.726,0.088,1267,
AC,1200203,Cruzeiro do Sul,27.487,80.017,22.963,11.94,2.215,14368,
AC,1200252,Epitaciolândia,24.498,70.799,22.864,8.221,0.564,2807,
AC,1200302,Feijó,16.741,42.753,14.394,2.1,1.096,5268,
AC,1200328,Jordão,3.103,16.846,0.552,0.114,0.082,740,
AC,1200336,Mâncio Lima,9.213,64.883,13.296,5.207,0.445,2308,
AC,1200344,Manoel Urbano,10.09,51.551,15.167,2.987,0.096,1236,
AC,1200351,Marechal Thaumaturgo,4.865,23.619,0.238,0.604,0.048,1491,
AC,1200385,Plácido de Castro,19.056,64.903,22.022,8.477,1.503,3728,
AC,1200393,Porto Walter,23.062,47.339,1.681,0.587,0.666,1019,
AC,1200401,Rio Branco,53.198,95.222,57.55,22.603,5.942,64838,
AC,1200427,Rodrigues Alves,8.068,45.663,11.939,2.341,1.728,1595,
AC,1200435,Santa Rosa do Purus,25.846,35.113,0.539,0.275,0.111,325,
AC,1200450,Senador Guiomard,34.798,70.206,22.69,13.876,1.149,4951,
AC,1200500,Sena Madureira,21.827,56.791,19.382,5.663,1.163,6390,
AC,1200609,Tarauacá,22.712,55.004,17.325,2.404,1.487,5197,
AC,1200708,Xapuri,40.749,64.045,21.914,5.742,0.666,3045,
AC,1200807,Porto Acre,18.626,60.013,5.896,8.281,0.234,2843,
AL,2700102,Água Branca,31.335,82.699,7.041,6.341,0.604,3936,
AL,2700201,Anadia,51.712,89.511,4.5,9.49,1.088,4070,
AL,2700300,Arapiraca,69.841,97.637,16.256,15.452,2.959,44319,
AL,2700409,Atalaia,41.157,92.138,7.901,8.866,0.535,8590,
AL,2700508,Barra de Santo Antônio,61.78,92.319,6.412,4.367,0.269,2453,
AL,2700607,Barra de São Miguel,88.929,95.428,13.616,8.565,0.46,1424,
AL,2700706,Batalha,53.602,92.717,6.738,9.518,1.092,3335,
AL,2700805,Belém,25.628,85.315,3.896,8.8,0.379,1364,
AL,2700904,Belo Monte,29.637,82.123,1.311,7.134,0.605,1491,
AL,2701001,Boca da Mata,58.578,92.404,7.388,7.473,0.659,5178,
AL,2701100,Branquinha,44.587,84.259,3.826,5.443,0.028,2277,
AL,2701209,Cacimbinhas,14.923,81.821,4.754,6.624,0.345,2297,
AL,2701308,Cajueiro,52.55,88.238,5.481,4.6,0.149,4102,
AL,2701357,Campestre,57.56,88.932,4.529,8.533,0.769,1372,
AL,2701407,Campo Alegre,54.916,95.013,5.463,7.438,0.476,8157,
AL,2701506,Campo Grande,44.065,77.62,1.997,5.473,0.209,2041,
AL,2701605,Canapi,6.95,47.261,3.079,7.076,0.672,3843,
AL,2701704,Capela,52.87,84.627,4.456,5.402,0.732,3901,
AL,2701803,Carneiros,36.864,73.787,2.573,6.385,0.084,1435,
AL,2701902,Chã Preta,51.214,72.899,3.908,5.863,0.054,1660,
AL,2702009,Coité do Nóia,22.432,89.134,2.581,4.583,0.281,2622,
AL,2702108,Colônia Leopoldina,55.317,81.706,4.726,8.579,1.031,4086,
AL,2702207,Coqueiro Seco,66.473,97.115,5.72,6.599,0.961,1210,
AL,2702306,Coruripe,63.953,90.91,8.033,10.985,1.208,10587,
AL,2702355,Craíbas,35.132,88.828,1.857,11.876,0.2,4649,
AL,2702405,Delmiro Gouveia,66.182,94.952,12.781,15.163,1.869,10453,
AL,2702504,Dois Riachos,23.207,69.466,2.101,9.106,0.269,2633,
AL,2702553,Estrela de Alagoas,9.818,79.993,1.653,5.609,0.529,3925,
AL,2702603,Feira Grande,29.412,85.983,2.516,7.869,0.018,4807,
AL,2702702,Feliz Deserto,63.842,91.625,5.189,5.618,0.384,910,
AL,2702801,Flexeiras,46.058,79.906,6.061,6.066,0.81,2634,
AL,2702900,Girau do Ponciano,30.431,83.184,2.911,7.753,0.732,6405,
AL,2703007,Ibateguara,43.491,86.084,4.312,7.613,0.06,3357,
AL,2703106,Igaci,28.727,81.923,3.044,5.433,0.587,5945,
AL,2703205,Igreja Nova,41.586,90.245,2.79,5.933,0.013,4863,
AL,2703304,Inhapi,8.181,55.608,2.195,5.398,0.03,3857,
AL,2703403,Jacaré dos Homens,45.485,88.009,4.197,7.207,0.103,1227,
AL,2703502,Jacuípe,32.726,74.561,2.444,7.505,0.13,1680,
AL,2703601,Japaratinga,37.601,73.779,6.246,10.744,0.355,1509,
AL,2703700,Jaramataia,23.361,92.343,5.377,7.915,0.239,1232,
AL,2703759,Jequiá da Praia,,,,,,,
AL,2703809,Joaquim Gomes,40.168,80.04,3.314,5.465,0.42,4462,
AL,2703908,Jundiá,25.024,70.732,1.455,8.211,0.097,1067,
AL,2704005,Junqueiro,44.888,94.173,4.267,7.562,0.295,5370,
AL,2704104,Lagoa da Canoa,33.056,91.936,2.178,7.269,0.278,4378,
AL,2704203,Limoeiro de Anadia,17.067,85.539,1.396,6.761,0.248,5130,
AL,2704302,Maceió,90.694,99.694,43.243,25.211,10.033,203892,
AL,2704401,Major Isidoro,27.073,82.631,3.825,8.806,0.683,4177,
AL,2704500,Maragogi,46.206,70.012,12.095,10.741,1.361,4604,
AL,2704609,Maravilha,18.931,60.747,2.698,4.743,0.142,2691,
AL,2704708,Marechal Deodoro,64.344,92.213,7.594,11.166,1.609,8146,
AL,2704807,Maribondo,60.612,90.895,6.863,9.98,0.562,3576,
AL,2704906,Mar Vermelho,55.025,86.862,5.513,7.93,1.646,994,
AL,2705002,Mata Grande,26.251,61.639,5.182,6.791,0.891,5472,
AL,2705101,Matriz de Camaragibe,63.521,81.885,6.713,4.5,0.334,5064,
AL,2705200,Messias,74.84,93.018,11.602,6.091,0.539,2570,
AL,2705309,Minador do Negrão,23.868,80.991,4.076,6.554,0.558,1225,
AL,2705408,Monteirópolis,33.027,72.012,4.588,6.468,0.057,1539,
AL,2705507,Murici,52.278,87.517,8.122,5.262,0.706,5373,
AL,2705606,Novo Lino,24.823,81.453,4.836,6.678,0.506,2337,
AL,2705705,Olho d'Água das Flores,65.034,78.538,5.198,11.009,0.302,4505,
AL,2705804,Olho d'Água do Casado,33.994,72.723,4.228,8.887,0.328,1588,
AL,2705903,Olho d'Água Grande,25.819,78.312,1.229,5.13,0.142,1048,
AL,2706000,Olivença,22.272,64.018,2.016,5.53,0.118,2277,
AL,2706109,Ouro Branco,19.203,63.26,2.919,7.626,0.181,2243,
AL,2706208,Palestina,49.946,84.458,4.101,7.645,0.154,947,
AL,2706307,Palmeira dos Índios,63.565,94.733,15.643,13.894,2.444,17257,
AL,2706406,Pão de Açúcar,56.678,75.276,4.809,6.693,0.793,5249,
AL,2706422,Pariconha,22.222,83.468,2.165,5.297,0.392,2278,
AL,2706448,Paripueira,66.838,97.025,4.167,7.227,0.253,1768,
AL,2706505,Passo de Camaragibe,40.64,78.327,2.344,4.936,0.295,2944,
AL,2706604,Paulo Jacinto,61.16,84.802,6.985,6.603,1.075,1810,
AL,2706703,Penedo,72.118,93.697,15.787,10.056,2.21,13089,
AL,2706802,Piaçabuçu,68.4,90.719,6.218,6.78,0.854,3991,
AL,2706901,Pilar,71.865,97.546,8.47,11.019,0.723,6874,
AL,2707008,Pindoba,32.366,75.494,1.958,4.992,0.138,697,
AL,2707107,Piranhas,55.987,79.958,7.253,11.772,3.1,4396,
AL,2707206,Poço das Trincheiras,12.171,65.498,1.434,4.001,0.019,2824,
AL,2707305,Porto Calvo,58.952,85.298,12.445,7.538,0.503,5212,
AL,2707404,Porto de Pedras,28.193,66.713,5.078,5.599,1.773,2224,
AL,2707503,Porto Real do Colégio,51.784,92.135,4.435,7.819,0.8,4268,
AL,2707602,Quebrangulo,50.759,80.447,3.765,6.215,0.572,2834,
AL,2707701,Rio Largo,76.346,96.909,24.469,11.002,1.372,14939,
AL,2707800,Roteiro,65.417,83.847,2.586,5.225,0.169,1493,
AL,2707909,Santa Luzia do Norte,73.968,97.301,9.306,7.454,0.402,1384,
AL,2708006,Santana do Ipanema,50.275,82.479,7.656,9.699,1.114,9693,
AL,2708105,Santana do Mundaú,52.775,82.012,2.915,5.65,0.173,2633,
AL,2708204,São Brás,65.321,90.98,6.031,5.948,0.668,1518,
AL,2708303,São José da Laje,60.313,90.629,8.722,6.302,0.672,4808,
AL,2708402,São José da Tapera,15.975,44.215,1.311,6.316,0.213,5721,
AL,2708501,São Luís do Quitunde,41.811,79.681,9.399,6.854,0.907,6156,
AL,2708600,São Miguel dos Campos,75.608,95.649,14.2,10.763,2.624,11070,
AL,2708709,São Miguel dos Milagres,61.873,86.973,10.845,9.904,0.657,1368,
AL,2708808,São Sebastião,23.731,89.582,2.682,6.767,0.658,6619,
AL,2708907,Satuba,82.921,98.267,22.95,15.116,2.128,2876,
AL,2708956,Senador Rui Palmeira,26.839,45.089,3.753,4.941,0.579,2529,
AL,2709004,Tanque d'Arca,37.635,80.722,4.223,6.611,1.026,1584,
AL,2709103,Taquarana,29.868,82.465,3.563,5.078,0.832,3882,
AL,2709152,Teotônio Vilela,52.701,93.714,3.554,8.087,0.834,7677,
AL,2709202,Traipu,19.624,67.623,4.196,2.97,0.792,4984,
AL,2709301,União dos Palmares,69.024,89.913,13.446,9.083,0.933,13585,
AL,2709400,Viçosa,65.673,87.359,9.215,9.842,0.924,6128,
AM,1300029,Alvarães,10.798,79.878,2.092,2.531,0.383,1897,
AM,1300060,Amaturá,27.19,74.393,3.036,1.671,0.93,1241,
AM,1300086,Anamã,38.51,59.873,3.548,0.56,1.103,1129,
AM,1300102,Anori,40.314,72.204,10.65,0.96,0.495,2143,
AM,1300144,Apuí,26.661,50.703,10.766,13.205,1.015,3310,
AM,1300201,Atalaia do Norte,25.884,58.839,3.424,1.168,1.627,1749,
AM,1300300,Autazes,23.824,52.936,9.87,0.307,1.416,4742,
AM,1300409,Barcelos,14.821,52.985,6.495,1.361,0.784,4401,
AM,1300508,Barreirinha,41.906,63.007,2.146,0.635,0.761,3914,
AM,1300607,Benjamin Constant,35.705,86.745,8.97,4.706,0.323,3981,
AM,1300631,Beruri,38.168,60.624,1.312,0.958,0.496,1845,
AM,1300680,Boa Vista do Ramos,42.257,49.835,3.018,0.519,0.572,1840,
AM,1300706,Boca do Acre,20.613,63.228,12.509,5.911,0.471,5588,
AM,1300805,Borba,23.559,57.556,10.708,1.214,0.494,4808,
AM,1300839,Caapiranga,22.037,67.76,1.784,0.514,0.481,1483,
AM,1300904,Canutama,37.587,62.189,2.412,0.487,0.324,1894,
AM,1301001,Carauari,36.477,79.565,17.792,1.737,2.281,4327,
AM,1301100,Careiro,14.666,36.979,7.843,1.111,0.219,5494,
AM,1301159,Careiro da Várzea,11.355,30.624,0.66,1.051,0.356,3780,
AM,1301209,Coari,36.59,68.882,9.168,2.615,0.919,10796,
AM,1301308,Codajás,35.722,77.552,11.355,1.279,1.684,3028,
AM,1301407,Eirunepé,19.839,65.049,13.393,2.666,0.79,4751,
AM,1301506,Envira,14.437,34.489,9.053,1.315,0.017,3064,
AM,1301605,Fonte Boa,25.303,61,6.203,1.083,0.002,4560,
AM,1301654,Guajará,11.338,50.721,1.731,0.991,1.265,2174,
AM,1301704,Humaitá,48.074,79.043,12.973,9.709,2.487,6229,
AM,1301803,Ipixuna,9.983,50.528,1.408,0.484,1.114,2333,
AM,1301852,Iranduba,20.84,80.262,6.684,5.726,0.363,5985,
AM,1301902,Itacoatiara,42.803,74.987,15.783,5.739,1.511,14494,
AM,1301951,Itamarati,24.451,35.924,0.604,0.676,0.274,1396,
AM,1302009,Itapiranga,45.069,77.259,7.361,3.146,1.037,1323,
AM,1302108,Japurá,11.506,58.509,0.142,0.095,0.18,1640,
AM,1302207,Juruá,15.794,53.356,1.351,0.527,0.095,1153,
AM,1302306,Jutaí,17.692,45.838,2.338,0.816,0.24,3305,
AM,1302405,Lábrea,33.59,70.64,13.478,3.429,1.314,5574,
AM,1302504,Manacapuru,49.772,77.132,8.542,6.83,0.939,13870,
AM,1302553,Manaquiri,21.256,52.483,2.076,0.537,0.064,2640,
AM,1302603,Manaus,75.045,98.997,43.698,21.054,9.832,329890,
AM,1302702,Manicoré,16.837,51.828,8.48,4.623,1.474,6986,
AM,1302801,Maraã,7.31,66.245,2.236,0.673,0.409,2617,
AM,1302900,Maués,32.254,66.076,8.842,2.993,2.248,7290,
AM,1303007,Nhamundá,19.636,63.283,3.155,1.577,0.637,2566,
AM,1303106,Nova Olinda do Norte,21.354,46.362,3.654,2.871,0.62,4028,
AM,1303205,Novo Airão,37.938,80.941,16.299,4.419,1.305,1932,
AM,1303304,Novo Aripuanã,17.104,69.093,13.639,1.506,0.238,2895,
AM,1303403,Parintins,40.113,67.572,15.599,2.57,1.054,16084,
AM,1303502,Pauini,9.441,42.652,2.49,0.641,0.461,2880,
AM,1303536,Presidente Figueiredo,59.933,84.477,27.48,17.864,4.562,4330,
AM,1303569,Rio Preto da Eva,41.346,67.618,8.627,8.57,1.34,3722,
AM,1303601,Santa Isabel do Rio Negro,10.943,50.721,0.94,1.164,0.184,1992,
AM,1303700,Santo Antônio do Içá,11.154,61.035,5.483,1.314,0.559,4172,
AM,1303809,São Gabriel da Cachoeira,25.152,51.081,9.143,8.198,1.937,5954,
AM,1303908,São Paulo de Olivença,10.279,58.273,6.43,0.047,0.01,3458,
AM,1303957,São Sebastião do Uatumã,51.23,78.598,5.79,0.792,0.945,1148,
AM,1304005,Silves,28.388,54.554,4.22,0.854,0.513,1419,
AM,1304062,Tabatinga,39.533,81.799,13.921,17.515,2.361,6777,
AM,1304104,Tapauá,35.211,51.882,1.145,0.54,0.753,3039,
AM,1304203,Tefé,46.651,84.72,21.678,4.677,1.558,10747,
AM,1304237,Tonantins,7.655,75.925,0.263,0.087,0.024,2280,
AM,1304260,Uarini,9.359,66.049,2.381,0.815,1.16,1550,
AM,1304302,Urucará,45.566,67.1,5.902,0.706,1.091,3043,
AM,1304401,Urucurituba,32.825,65.741,4.399,1.438,0.444,2220,
AP,1600055,Serra do Navio,48.831,93.979,15.955,9.628,1.437,734,
AP,1600105,Amapá,37.272,87.389,30.569,8.34,0.422,1425,
AP,1600154,Pedra Branca do Amaparí,12.99,71.547,11.824,4.536,0.771,865,
AP,1600204,Calçoene,34.236,87.944,16.679,8.003,0.578,1491,
AP,1600212,Cutias,56.637,84.739,12.767,3.298,0.35,584,
AP,1600238,Ferreira Gomes,53.672,88.272,14.312,5.468,0.605,718,
AP,1600253,Itaubal,54.08,83.304,5.876,2.681,0.201,534,
AP,1600279,Laranjal do Jari,32.787,95.648,12.193,8.638,3.62,6158,
AP,1600303,Macapá,71.558,98.696,52.882,20.448,6.373,61269,
AP,1600402,Mazagão,21.896,62.843,4.398,5.773,0.39,2304,
AP,1600501,Oiapoque,37.55,85.553,19.639,6.311,2.182,2675,
AP,1600535,Porto Grande,31.881,83.448,29.35,9.953,1.036,2567,
AP,1600550,Pracuúba,27.184,76.608,9.477,3.021,0.13,434,
AP,1600600,Santana,65.803,98.217,29.849,10.906,3.367,16064,
AP,1600709,Tartarugalzinho,27.645,77.369,12.265,5.09,0.83,1329,
AP,1600808,Vitória do Jari,39.773,83.592,10.968,2.985,1.367,1614,
BA,2900108,Abaíra,78.341,75.056,4.29,18.553,0.65,2299,
BA,2900207,Abaré,49.863,60.806,5.04,10.937,0.331,2946,
BA,2900306,Acajutiba,50.19,90.741,7.806,8.795,0.997,3452,
BA,2900355,Adustina,27.784,49.88,5.4,9.925,0.4,3439,
BA,2900405,Água Fria,23.953,50.264,5.714,3.953,0.299,3450,
BA,2900504,Érico Cardoso,48.798,60.231,1.835,12.078,0.437,2663,
BA,2900603,Aiquara,58.934,76.601,4.433,8.76,0.743,1284,
BA,2900702,Alagoinhas,77.873,92.622,29.278,19.907,5.509,31892,
BA,2900801,Alcobaça,54.072,77.891,6.992,8.696,1.414,4955,
BA,2900900,Almadina,58.656,84.176,3.93,6.223,0.494,2018,
BA,2901007,Amargosa,69.719,79.067,8.621,13.156,2.285,8131,
BA,2901106,Amélia Rodrigues,46.33,94.361,4.691,13.319,2.666,5800,
BA,2901155,América Dourada,36.849,80.489,1.901,11.254,0.071,3643,
BA,2901205,Anagé,16.395,35.6,1.452,7.394,0.534,6857,
BA,2901304,Andaraí,26.179,55.874,5.369,8.973,0.835,3152,
BA,2901353,Andorinha,28.995,46.397,1.967,11.068,0.733,4140,
BA,2901403,Angical,33.673,54.429,2.526,6.3,0.414,3356,
BA,2901502,Anguera,38.645,67.106,3.924,7.283,1.021,1945,
BA,2901601,Antas,71.495,77.592,6.491,10.47,0.348,3506,
BA,2901700,Antônio Cardoso,25.755,64.514,2.043,6.88,0.217,2400,
BA,2901809,Antônio Gonçalves,46.889,80.022,5.534,6.546,0.201,2288,
BA,2901908,Aporá,45.707,60.813,6.295,7.443,0.371,4240,
BA,2901957,Apuarema,41.716,72.756,5.409,7.119,0.388,1734,
BA,2902005,Aracatu,17.099,29.609,2.12,11.657,0.228,3296,
BA,2902054,Araças,35.047,70.673,1.869,7.328,0.597,2449,
BA,2902104,Araci,25.272,51.668,2.415,11.251,1.151,10454,
BA,2902203,Aramari,51.473,73.192,7.694,8.066,0.913,2146,
BA,2902252,Arataca,30.105,73.382,2.51,5.26,0.307,2998,
BA,2902302,Aratuípe,38.068,67.114,3.569,4.643,1.351,1899,
BA,2902401,Aurelino Leal,43.942,84.532,6.135,3.487,1.284,3764,
BA,2902500,Baianópolis,35.587,43.399,4.293,7.831,0.319,2762,
BA,2902609,Baixa Grande,26.123,55.808,3.848,8.98,0.363,4841,
BA,2902658,Banzaê,67.156,82.067,1.752,8.213,0.072,2669,
BA,2902708,Barra,39.559,51.739,3.886,6.088,0.292,8713,
BA,2902807,Barra da Estiva,52.345,60.485,4.226,15.545,1.585,5438,
BA,2902906,Barra do Choça,58.991,87.089,3.708,6.254,0.505,8294,
BA,2903003,Barra do Mendes,57.075,87.366,2.977,15.968,0.769,3372,
BA,2903102,Barra do Rocha,37.29,70.932,3.054,4.721,0.662,1861,
BA,2903201,Barreiras,77.841,91.259,27.876,23.729,6.228,31999,
BA,2903235,Barro Alto,39.811,81.2,1.434,13.141,0.738,2978,
BA,2903276,Barrocas,,,,,,,
BA,2903300,Governador Lomanto Júnior,51.497,86.655,8.551,5.709,1.629,2063,
BA,2903409,Belmonte,37.183,78.976,7.951,8.557,1.688,5198,
BA,2903508,Belo Campo,44.728,73.05,2.79,12.181,0.442,3986,
BA,2903607,Biritinga,35.666,54.1,1.559,7.42,0.625,3310,
BA,2903706,Boa Nova,23.425,41.54,1.978,7.046,0.163,4512,
BA,2903805,Boa Vista do Tupim,21.659,57.578,4.355,8.694,1.055,4273,
BA,2903904,Bom Jesus da Lapa,66.234,74.511,20.521,15.542,2.837,11833,
BA,2903953,Bom Jesus da Serra,8.73,41.216,2.826,7.703,0.858,2151,
BA,2904001,Boninal,55.563,69.806,7.873,15.057,0.591,2808,
BA,2904050,Bonito,27.336,75.201,2.246,13.631,1.269,2947,
BA,2904100,Boquira,40.364,40.974,4.379,12.604,1.182,4947,
BA,2904209,Botuporã,32.02,41.688,2.03,9.992,0.757,2559,
BA,2904308,Brejões,31.396,79.9,6.381,11.206,1.779,3668,
BA,2904407,Brejolândia,44.512,56.681,2.791,8.394,0.251,2158,
BA,2904506,Brotas de Macaúbas,26.189,51.796,4.528,11.862,0.67,3260,
BA,2904605,Brumado,63.327,84.132,15.349,21.71,2.645,14759,
BA,2904704,Buerarema,59.87,85.936,9.111,10.897,1.114,4834,
BA,2904753,Buritirama,29.884,37.779,1.402,10.708,1.124,3463,
BA,2904803,Caatiba,56.47,50.716,3.917,7.054,1.039,3066,
BA,2904852,Cabaceiras do Paraguaçu,29.722,83.425,0.29,7.324,0.267,3321,
BA,2904902,Cachoeira,57.617,86.144,11.892,8.613,3.042,7642,
BA,2905008,Caculé,64.271,76.629,10.473,21.152,3.563,4903,
BA,2905107,Caém,33.564,65.222,7.722,9.76,1.467,2901,
BA,2905156,Caetanos,13.886,32.272,0.923,6.5,0.584,2612,
BA,2905206,Caetité,56.185,62.471,8.88,18.703,2.802,10361,
BA,2905305,Cafarnaum,30.892,80.933,2.606,14.629,0.349,3812,
BA,2905404,Cairu,65.796,90.628,8.96,3.61,0.272,2790,
BA,2905503,Caldeirão Grande,37.338,69.716,5.291,10.954,0.781,2701,
BA,2905602,Camacan,61.415,91.304,8.573,8.973,2.275,7611,
BA,2905701,Camaçari,75.025,97.991,23.412,15.037,3.316,41592,
BA,2905800,Camamu,36.487,61.122,3.21,5.338,1.312,7753,
BA,2905909,Campo Alegre de Lourdes,12.439,34.37,1.796,9.027,1.014,6172,
BA,2906006,Campo Formoso,44.222,74.154,6.294,12.547,1.423,14191,
BA,2906105,Canápolis,31.75,46.925,5.208,5.641,0.682,2228,
BA,2906204,Canarana,35.668,82.485,3.99,17.169,0.303,5319,
BA,2906303,Canavieiras,49.528,76.431,7.12,7.951,1.53,8939,
BA,2906402,Candeal,27.105,60.549,3.05,10.298,0.32,2340,
BA,2906501,Candeias,69.78,96.965,23.972,14.062,2.488,18968,
BA,2906600,Candiba,59.904,67.247,5.485,10.833,0.988,2933,
BA,2906709,Cândido Sales,45.936,87.412,3.435,14.918,0.494,6819,
BA,2906808,Cansanção,30.912,54.602,3.918,14.977,1.164,7416,
BA,2906824,Canudos,40.888,61.165,5.657,11.289,1,3204,
BA,2906857,Capela do Alto Alegre,29.88,62.238,6.597,16.718,0.413,3178,
BA,2906873,Capim Grosso,53.096,85.098,8.815,15.27,1.905,6255,
BA,2906899,Caraíbas,13.185,27.317,2.488,11.709,0.439,3616,
BA,2906907,Caravelas,47.396,81.297,12.974,12.462,1.763,4954,
BA,2907004,Cardeal da Silva,38.749,75.982,5.563,8.348,0.347,1771,
BA,2907103,Carinhanha,44.73,59.112,2.509,7.96,0.78,5742,
BA,2907202,Casa Nova,40.424,57.632,1.851,14.411,0.789,12531,
BA,2907301,Castro Alves,49.299,75.856,8.019,11.87,0.765,6226,
BA,2907400,Catolândia,45.231,52.771,5.92,6.373,0.981,693,
BA,2907509,Catu,76.233,90.641,18.444,17.005,4.441,11493,
BA,2907558,Caturama,39.87,42.628,2.953,15.38,0.487,2004,
BA,2907608,Central,34.418,81.486,4.693,12.457,1.187,4033,
BA,2907707,Chorrochó,39.974,51.867,2.26,12.789,0.302,2302,
BA,2907806,Cícero Dantas,51.675,72.336,6.712,10.89,0.326,8390,
BA,2907905,Cipó,57.378,90.101,10.006,10.411,1.397,3452,
BA,2908002,Coaraci,63.656,85.838,11.819,8.874,2.186,6462,
BA,2908101,Cocos,45.02,50.533,6.014,14.043,1.264,4040,
BA,2908200,Conceição da Feira,69.711,89.202,8.033,11.925,2.129,4199,
BA,2908309,Conceição do Almeida,51.488,95.667,9.347,8.166,0.772,4825,
BA,2908408,Conceição do Coité,35.913,72.631,3.744,18.247,1.674,13801,
BA,2908507,Conceição do Jacuípe,44.239,96.752,8.012,15.515,2.068,6562,
BA,2908606,Conde,38.535,69.133,9.307,10.019,0.973,4462,
BA,2908705,Condeúba,42.659,52.664,5.314,12.993,1.567,4114,
BA,2908804,Contendas do Sincorá,54.244,75.359,6.43,14.171,1.094,1089,
BA,2908903,Coração de Maria,30.198,85.101,3.366,10.84,1.371,5433,
BA,2909000,Cordeiros,43.824,56.409,5.197,13.113,0.286,1868,
BA,2909109,Coribe,49.788,58.907,2.955,10.542,0.206,3577,
BA,2909208,Coronel João Sá,32.159,46.218,0.833,5.566,0.452,4398,
BA,2909307,Correntina,46.371,53.2,6.523,8.814,1.366,7144,
BA,2909406,Cotegipe,38.648,51.622,1.749,7.382,0.605,2992,
BA,2909505,Cravolândia,45.392,74.408,3.097,9.37,0.526,1178,
BA,2909604,Crisópolis,36.653,57.542,2.183,8.398,0.454,4753,
BA,2909703,Cristópolis,32.755,53.775,1.695,8.515,0.03,2841,
BA,2909802,Cruz das Almas,75.7,96.004,19.016,17.028,4.067,13142,
BA,2909901,Curaçá,50.301,67.726,2.681,10.432,0.624,6516,
BA,2910008,Dário Meira,35.387,50.895,0.319,2.909,0.064,3194,
BA,2910057,Dias d'Ávila,71.141,98.573,24.28,15.708,3.227,11425,
BA,2910107,Dom Basílio,36.851,64.928,4.391,10.118,0.763,2334,
BA,2910206,Dom Macedo Costa,51.192,82.511,4.578,8.256,0.381,973,
BA,2910305,Elísio Medrado,58.935,77.057,7.943,10.502,0.531,2112,
BA,2910404,Encruzilhada,34.824,54.211,0.841,7.16,0.004,7900,
BA,2910503,Entre Rios,50.406,82.986,9.284,10.975,1.79,8754,
BA,2910602,Esplanada,36.751,84.669,12.942,14.278,2.478,6214,
BA,2910701,Euclides da Cunha,54.683,64.272,6.51,9.796,0.92,12714,
BA,2910727,Eunápolis,68.279,96.112,24.524,17.873,3.883,21131,
BA,2910750,Fátima,42.434,58.121,2.764,8.644,2.081,4506,
BA,2910776,Feira da Mata,37.321,58.68,4.254,9.41,0.519,1464,
BA,2910800,Feira de Santana,75.282,96.486,43.958,21.998,6.168,121068,
BA,2910859,Filadélfia,18.689,57.478,2.424,7.189,0.827,3703,
BA,2910909,Firmino Alves,56.879,85.622,6.424,7.361,0.754,1314,
BA,2911006,Floresta Azul,63.434,86.222,3.834,6.783,0.767,2935,
BA,2911105,Formosa do Rio Preto,44.889,54.772,4.544,9.986,1.145,3752,
BA,2911204,Gandu,57.277,89.504,16.587,13.083,1.448,6952,
BA,2911253,Gavião,39.603,56.007,2.922,11.949,0.443,1173,
BA,2911303,Gentio do Ouro,55.458,68.284,2.589,12.845,1.059,2415,
BA,2911402,Glória,41.988,77.739,1.15,15.097,0.395,3520,
BA,2911501,Gongogi,42.276,79.496,8.345,5.073,1.393,2343,
BA,2911600,Governador Mangabeira,51.493,96.365,10.477,13.16,0.525,3937,
BA,2911659,Guajeru,23.247,30.033,3.75,12.72,0.046,2721,
BA,2911709,Guanambi,70.313,85.855,20.158,23.811,4.047,17378,
BA,2911808,Guaratinga,31.626,63.047,4.217,6.345,0.321,5985,
BA,2911857,Heliópolis,52.972,52.944,1.539,8.552,0.065,3259,
BA,2911907,Iaçu,50.576,75.684,7.342,14.39,1.306,6734,
BA,2912004,Ibiassucê,48.948,58.831,4.577,19.026,1.049,2856,
BA,2912103,Ibicaraí,68.159,84.929,14.927,10.225,1.889,7507,
BA,2912202,Ibicoara,40.863,61.561,3.215,13.795,0.937,2824,
BA,2912301,Ibicuí,66.018,80.77,5.308,11.323,1.188,3890,
BA,2912400,Ibipeba,42.281,86.668,2.264,14.993,0.832,3754,
BA,2912509,Ibipitanga,24.917,36.056,1.906,11.173,0.185,3031,
BA,2912608,Ibiquera,18.573,65.053,2.463,8.745,0.524,1095,
BA,2912707,Ibirapitanga,42.538,73.051,4.456,4.119,0.796,5220,
BA,2912806,Ibirapuã,53.168,83.487,5.133,11.026,0.943,1918,
BA,2912905,Ibirataia,48.758,82.082,6.73,7.873,1.008,5668,
BA,2913002,Ibitiara,28.141,38.071,2.497,19.059,0.803,3471,
BA,2913101,Ibititá,44.282,86.837,1.622,13.069,1.196,4427,
BA,2913200,Ibotirama,63.796,78.606,6.799,14.642,2.57,5756,
BA,2913309,Ichu,49.162,81.652,5.573,17.509,1.179,1318,
BA,2913408,Igaporã,46.247,71.036,5.862,17.578,1.268,3297,
